row,col,weight_0,weight_1,weight_2,weight_3
0,0,5.264443085573598,2.5056997992417407,4.130363789264602,1.4284818342446082
0,1,5.269886090562326,2.4872945259969828,4.041839712355522,1.384330493562639
0,2,5.177105928816168,2.3684758063960802,3.669926371167775,1.1682272937865614
0,3,5.030929773322337,2.3013811084635267,3.323795473983312,1.0242217814213743
0,4,4.898193947182919,2.41583898681187,2.6822194359380247,0.7765909545447861
0,5,4.6672546066751766,2.886663339806137,1.5352113055582892,0.26601361848344396
0,6,4.614160045007934,3.009842428703372,1.37644698392071,0.18301036881652488
0,7,4.649250001685018,3.1630756832709053,1.3363243837124537,0.18828076203960215
0,8,4.81411850153456,3.372485277122639,1.3135902118629403,0.22652949264158004
0,9,4.9201511290890005,3.4519803109714147,1.3113588035708708,0.23931957291708558
1,0,5.368327862951506,2.5589062901556185,4.17907997002495,1.3674337984971678
1,1,5.382422958902807,2.5559136705980046,4.136980708312538,1.3531983097587417
1,2,5.284384786975784,2.3972944750219067,3.716645764281484,1.149741147353342
1,3,5.244439170744325,2.3739132101080376,3.458122523756378,1.0346405476842153
1,4,5.142491326462834,2.4483973965761274,2.99479830596026,0.8619612871130085
1,5,4.819098660831783,2.962027566254144,1.7290761546816902,0.327135783923385
1,6,4.756568134390931,3.124204502159459,1.4587598401981385,0.20158506471384915
1,7,4.793247703669246,3.2362507434379735,1.4202229748224666,0.20186963144223657
1,8,4.9273874153700294,3.4156479236863757,1.3685766566153923,0.23189666894309496
1,9,4.987874321609266,3.4904629909861087,1.357718911442038,0.25205839409776243
2,0,5.579024319267881,2.7667772841828837,4.205451932120334,1.2765252917373653
2,1,5.606668187078062,2.776581740029847,4.166688242990919,1.2709232416337897
2,2,5.637620348514098,2.6893479240696925,4.0176971203415315,1.1906920191153476
2,3,5.624874329264493,2.5195230222853215,3.776415524634823,1.0847391215528994
2,4,5.566642794429605,2.5366711567423033,3.508470503048983,0.9759087968823511
2,5,5.129792587849549,2.9630687626368455,2.1855802316342294,0.46825424823010997
2,6,5.002864122099156,3.3130978186166886,1.5994346988193966,0.25042204778140437
2,7,5.071596973026902,3.4221064331626994,1.571783527091318,0.24452466962234318
2,8,5.15037131946536,3.5864437050416953,1.494960485282695,0.2568757835946881
2,9,5.156844950723687,3.6533807530246776,1.4389403954237243,0.2477693786475112
3,0,5.587887484716783,2.88758177007787,4.3012804497243105,1.332270353128548
3,1,5.639330611389781,2.8927313978646074,4.247243825974294,1.3317211370864952
3,2,5.727426609527967,2.771607566235178,4.059384680389087,1.2289481293058144
3,3,5.842856449531809,2.6008160070494846,3.999984375339298,1.171819583115864
3,4,5.933788414941937,2.5696051026673223,4.01013989798046,1.1461236415558722
3,5,5.719333200186885,2.845778374911689,3.3013565560960654,0.8864290663213406
3,6,5.2153731151604665,3.367214226746799,1.9740143268630592,0.4254983273797336
3,7,5.144742359195325,3.545357273394192,1.6150886612915067,0.28330253188904947
3,8,5.282777980683043,3.7470256077479442,1.5255365466264186,0.2748444230396725
3,9,5.369191779631343,3.90497921063899,1.4681799040073278,0.26275175967602554
4,0,5.662378284403729,3.0311515827481226,4.424200485487352,1.4665066163226956
4,1,5.771089827694805,3.0014415456489063,4.384767273034585,1.4263995988756173
4,2,5.866940871115302,2.8972996386543857,4.246419809545267,1.3189213409294065
4,3,6.035280945165918,2.7208516083643315,4.253307405471821,1.288309064655244
4,4,6.226888229816377,2.6963666573602048,4.268035030490372,1.2637552000038361
4,5,6.400849024514955,2.808816249555423,4.374632489395378,1.3272586199483103
4,6,6.079981947766749,3.176928283515641,3.5608002123973965,1.0610224755151287
4,7,5.514569875384877,3.563145650454182,2.237609880184401,0.5572739776909221
4,8,5.370219762342746,3.871696016314599,1.5358800311079843,0.2910742401195777
4,9,5.443307459311933,3.9877205445671815,1.4705779417231917,0.2650265554106062
5,0,5.778439719906751,3.0518256589973114,4.731619475745148,1.6871379613222737
5,1,5.9137844703088955,3.0171002847675226,4.658450655607079,1.6099464929485572
5,2,6.108723661902001,2.8839863380680106,4.619892745122614,1.5552592192664847
5,3,6.199862869055224,2.7672045309605275,4.557474163304154,1.481495105543005
5,4,6.372891919391848,2.758148434285852,4.492081953193687,1.406483850969922
5,5,6.564475809009113,2.951882036256233,4.516043523144711,1.395896177801585
5,6,6.647186689132835,3.058070453300575,4.5625331965365215,1.4181118774488886
5,7,6.489402066019784,3.239696002839485,4.16859489497427,1.2962469366899134
5,8,5.741332583762947,3.853864398036549,2.3186128375059583,0.6468430140945033
5,9,5.6567021796433545,3.9660267862964584,2.0468218577101713,0.5540773314699559
6,0,5.8442892361878265,2.969487496180299,4.9155450188245515,1.9198709230074662
6,1,5.987791480581355,2.9484244739096805,4.853906557642448,1.7624628326190794
6,2,6.186292666784768,2.8329601873660595,4.8495568697402565,1.6320065478459844
6,3,6.268920561356428,2.7638545979461795,4.875249320873409,1.6112865904570461
6,4,6.538778793945127,2.796617287574452,4.904516234096453,1.5566305934334566
6,5,6.744123173798295,3.038882331312835,4.755642788118756,1.4570365978325583
6,6,6.760948095935112,3.07398078233676,4.766908643669626,1.4770272990855926
6,7,6.706424793451736,3.0986533116536537,4.784628720922193,1.5749908563940636
6,8,6.395189791947461,3.1881141442585452,5.015079496874832,1.9188787111472432
6,9,6.246499511433927,3.2937504174085865,4.89543542995052,1.941075577779386
7,0,5.794773344477735,2.7824694780851003,5.0172447766968284,1.9819930397028662
7,1,5.902897760175297,2.7908846758453483,4.998837913398268,1.9046581286376885
7,2,6.291208512529874,2.827833232636827,5.1445365620732675,1.7362541193548142
7,3,6.466646826356546,2.8561992148150632,5.324522926514833,1.7677668366865722
7,4,6.749526742651319,2.898259428182521,5.594734364410581,1.7903097566479877
7,5,7.105484137890949,3.034906352394302,5.565150036483354,1.698444150925201
7,6,6.966602068505303,3.0371546641634457,5.318359841316139,1.7166837229205598
